Word,Count
di,1113
saya,1003
bisa,634
instagram,633
dan,546
tolong,517
tidak,517
ada,492
yang,491
nya,478
ini,450
fitur,448
akun,431
lagi,341
ig,325
story,303
tapi,289
kenapa,288
padahal,284
yg,280
ga,277
itu,258
bug,247
untuk,247
sudah,246
update,241
malah,241
mau,241
foto,228
juga,220
tiba,214
banyak,214
gak,211
aplikasi,209
udah,202
ya,199
ke,196
jadi,195
perbaiki,193
bagus,182
video,177
arsip,176
aja,173
dari,165
sangat,156
lain,151
sama,150
lama,149
buat,147
sekarang,142
aku,141
makin,140
baru,138
terus,137
jangan,134
kalo,126
atau,125
diperbaiki,125
banget,123
karena,123
dengan,122
hilang,122
mohon,122
pas,121
muncul,120
orang,113
postingan,113
dong,110
kalau,109
masih,109
buka,108
seperti,104
login,103
semua,101
apa,101
selalu,101
kita,97
bikin,96
hapus,95
lebih,95
masalah,95
kok,92
pihak,91
saat,87
reels,86
sendiri,86
gabisa,86
sekali,84
sering,84
kali,83
upload,83
musik,82
dulu,82
kenangan,81
saja,80
sih,80
bintang,77
setelah,76
lagu,75
udh,75
lah,72
apk,72
pake,71
suka,71
setiap,69
harus,69
masuk,68
gk,68
tetap,67
lancar,65
terimakasih,65
satu,64
beberapa,64
hp,64
kasih,63
pengguna,61
pada,60
segera,59
gitu,59
akan,58
hari,58
liat,57
coba,57
jaringan,56
ketika,55
kecewa,54
masa,54
cuma,54
profil,52
kadang,52
keluar,52
archive,52
cerita,50
aneh,50
gimana,50
karna,49
jelek,48
tetapi,48
ingin,48
pernah,48
baik,47
sampai,47
kesalahan,46
kayak,46
ku,46
vidio,45
sandi,45
kembali,44
hal,44
dapat,44
tulisan,44
jika,44
nge,43
banding,43
kata,43
pdhl,42
post,42
sampe,42
jelas,41
dah,41
error,41
tersedia,41
gini,41
salah,40
posting,40
susah,39
tetep,39
tiap,39
hanya,39
dihapus,39
bgt,39
melihat,38
sinyal,38
tersebut,38
dalam,38
belum,38
cara,38
menggunakan,38
eror,38
berguna,38
terjadi,37
kan,37
tanpa,37
biar,37
trus,37
loading,36
lalu,36
lihat,36
terbaru,36
ilang,36
yaa,35
ulang,35
teman,35
pun,35
namun,35
gua,35
sy,35
tampilan,34
waktu,34
tp,34
semakin,34
aplikasinya,33
bukan,33
email,33
filter,33
font,33
pakai,32
data,32
soalnya,32
agar,32
kami,32
kemarin,32
membuat,31
tpi,31
langsung,31
klo,31
berubah,31
gambar,31
benar,31
si,30
doang,30
pasti,30
kaya,30
ganti,30
deh,30
tuh,29
dibuka,28
terlalu,28
bahkan,28
please,28
melakukan,28
gw,28
menyimpan,28
eh,27
developer,27
cuman,27
fiturnya,27
nggak,27
jg,27
punya,27
simpan,27
ditangguhkan,27
kirim,27
bener,27
bagian,27
download,27
up,26
aman,26
penting,26
iklan,26
paling,26
gue,26
kualitas,25
an,25
semoga,25
akhir,25
pesan,25
menambahkan,25
sedangkan,25
kamera,25
kena,25
mulu,25
mengikuti,25
meta,25
follow,24
kurang,24
beranda,24
kedua,24
pertama,24
awal,24
menjadi,24
tau,24
ngebug,24
layar,24
nomor,24
berkali,24
tdk,24
pelanggaran,24
kek,24
sya,23
ni,23
koneksi,23
wifi,23
mana,23
kode,23
menghapus,23
log,23
anda,23
begitu,23
sedikit,22
knp,22
atas,22
lagunya,22
parah,22
minta,22
apapun,22
utama,22
kesini,22
tahun,22
sebelumnya,22
konten,22
in,22
komentar,22
membantu,21
lag,21
full,21
kendala,21
trs,21
mungkin,21
habis,21
g,21
versi,21
skrg,21
secara,21
ngga,21
reel,20
balik,20
mudah,20
plis,20
diupdate,20
jadinya,20
kedip,20
nyaman,20
sorotan,19
dm,19
sebenarnya,19
gaada,19
saran,19
nih,19
bermasalah,19
sg,19
alasan,19
galeri,19
catatan,19
masukin,18
musiknya,18
min,18
digunakan,18
notifikasi,18
dll,18
gajelas,18
temen,18
sistem,18
maaf,18
ngelag,17
apalagi,17
bawah,17
mulai,17
dilihat,17
katanya,17
suara,17
beri,17
buruk,17
nonton,17
dihilangkan,17
daftar,17
terima,17
tambah,17
repost,17
efek,17
biasanya,17
bugnya,17
lainnya,17
hilangkan,17
kembalikan,16
benerin,16
harap,16
awalnya,16
notif,16
nanti,16
fotonya,16
sebagai,16
hitam,16
tambahkan,16
feed,16
jam,16
nonaktifkan,16
ilangin,16
internet,16
audio,16
menit,16
main,16
music,16
balikin,16
media,15
cukup,15
perlu,15
kuota,15
aktif,15
edit,15
like,15
memori,15
bagi,15
dua,15
password,15
akunnya,15
lewat,15
loh,15
permanen,15
kepada,15
memposting,15
semuanya,15
fb,15
muter,14
disimpan,14
bagaimana,14
suruh,14
jdi,14
ternyata,14
respon,14
momen,14
mengalami,14
entah,14
hd,14
minggu,14
sebelum,14
enak,14
dgn,14
merasa,14
tangguhkan,14
jd,14
memang,14
ngk,14
komen,14
kesel,14
facebook,14
pengikut,14
oleh,13
stories,13
terutama,13
sumpah,13
cek,13
user,13
pilihan,13
bantuan,13
out,13
sengaja,13
chat,13
otomatis,13
oke,13
lemot,13
gada,13
sesuai,13
menunggu,13
ad,13
uninstall,13
tak,13
selama,13
diputar,13
ny,13
sdh,13
sosial,12
lgi,12
upgrade,12
highlight,12
secepatnya,12
gunakan,12
nyimpen,12
bingung,12
cepat,12
disuruh,12
stuck,12
ataupun,12
mending,12
perbaikan,12
mengganggu,12
aj,12
membuka,12
org,12
melanggar,12
perubahan,12
mengapa,12
uda,12
hasil,12
mencari,12
d,12
bio,12
bantuannya,12
instal,12
account,12
beda,12
suaranya,12
bnyk,12
admin,12
informasi,12
kesal,11
terkadang,11
halo,11
videonya,11
supaya,11
tambahin,11
sementara,11
klik,11
adanya,11
verifikasi,11
bulan,11
telah,11
mengganti,11
emang,11
berharga,11
tingkatkan,11
tiktok,11
cari,11
begini,11
mengirim,11
adalah,11
kak,11
berapa,11
apus,11
bermanfaat,11
ngeliat,11
perbaikin,11
skrng,11
jgn,11
lupa,11
tentang,11
pliss,11
kalian,11
orng,11
pencet,11
nama,11
sejak,11
ubah,11
dikit,11
whatsapp,11
bangett,10
berulang,10
engga,10
putih,10
jalan,10
pengaturan,10
android,10
arsipan,10
menurut,10
abis,10
kualitasnya,10
lambat,10
sedang,10
iya,10
layarnya,10
nunggu,10
keamanan,10
refresh,10
hampir,10
memakai,10
apaan,10
bakal,10
selain,10
opsi,10
lu,10
semula,10
install,10
isi,10
ttp,10
ribet,10
mencoba,10
samsung,10
sehingga,10
selesai,10
dikirim,10
