userName,content,sentiment,at
Su Wignyo,"Gatau ig skrng banyak bug nya. Mulai dari, postingan ga ada suaranya dan simbol speakernya, emoji yg direkomendasikan di keyboard pas dipencet beda(misal, sy pencet emoji ""😭"" yg direkomendasikan, tpi pas dipencet bukan emoji ""😭"" yg keluar, tpi emoji lain). Ntah bug ini cuman dihp ku aja atau smua hp gini, tpi temen ku juga ngalamin hal itu, udh coba ku uninstall ttp sama aja, gada perubahan. Mohon diperbaiki, ini sangat mengganggu terutama bug tidak ada suara dan simbol speaker",netral,2024-07-08 14:28:56
One ST,"Tolong diperbaiki dong bug suara yg dipostingan, Setiap saya melihat postingan ig dengan foto lebih dari 1 (postingan foto slide) suara lagu selalu tidak ada dan simbol speaker yg dipojok kanan bawah pun tidak ada, berbeda dengan postingan 1 foto saja.. Disana suara lagu selalu keluar dan tidak ada kendala.. Segera diperbaiki karena bug nya terlalu meresahkan dan menganggu",negatif,2024-07-10 17:44:34
Karina Ramadhani,"gimana ya, ig makin kesini makin banyak bug nya, awalnya maklum tapi lama² bikin kesel juga, salah satu yang bikin aku kesel banget akhir² ini pas aku posting video (dikasih musik atau ga) ga pernah bisa kekirim, loading lama banget trs di pojok kiri bawa ada tulisan ""menunggu koneksi"" aku udah coba hapus -> posting lagi berulang dan coba posting beberapa video yang berbeda tapi tetep aja ga bisa, aku capek bangett udah abis kesabaran aku yaa (⁠╥⁠﹏⁠╥⁠), tolong dong perbaikannya plss",negatif,2024-07-12 09:55:56
Cantika Fadiya Adillah,"Kenapa ya akun Instagram saya ketiga²nya jika menonton video reels suka delay videonya dari suaranya, ga sesuai dengan suaranya gitu lho. Saya sudah uninstall aplikasi sudah hapus data masih aja video reelsnya delay, bikin nonton jadi ga nyaman, padahal buka tiktok videonya ga delay. Saya ga tau ini cuma hp saya doang atau ga, tapi jujur ini ga nyaman banget, tolong diperbaiki bugnya!",negatif,2024-07-13 22:19:50
Vivo New,"Saya suka intagram begitu banyak video bermanfaat di dalamnya, namu saya jarang membukanya di karenakan videonya berresolusi sangat tinggi sehingga menghabiskan banyak data saya! Saya mohon untuk pihak insta untuk menyediakan kualitas video nya di insta dan bisa memilih sendiri kualitas video sesuai kesediaan data masing-masing! Terimakasih Intagram🙏👍👍",positif,2024-07-14 08:34:27
Raisya Qolby Surya,"habis di update kok reels nya malah ngelag2 ya? kadang ga bisa keputer juga padahal sinyal lancar. Juga dibagian menambahkan lagu di story kadang foto yang diberi lagunya jadi blur, itu sih saran saya diperbaiki bug2 nya, terimakasih 🙏🙏",negatif,2024-07-16 13:13:55
Ahmad Rizal,"Setelah update jadi makin ngaco. Sekarang setiap ada video kita tap (normalnya untuk mengaktifkan suara) sekarang malah jadi reel. Padahal video tsb bukan reel. Semakin mirip aplikasi tiktod. Tolong kembalikan fungsi lama seperti semula. Setelah update tampilan berubah lagi, belajar uinya lagi. Bukannya mempermudah user malah makin bikin bingung.",negatif,2024-07-18 22:29:22
Triyono bontot (Triyono46_stark),Terus tingkatkan fitur dan efisiensi. Fitur repost reels ke instastory dengan background foto dah ada cmn isi konten/video tidak muncul padahal sudah di taruh pada layer atas sendiri,positif,2024-07-31 13:21:15
Natasya Tasya,"Apalahh, instagram makin lama makin banyak bug nya, dari filter, bahkan kalo mau post reel atau story juga selalu ada tulisan 'kesalahan', udah berkali kali dicoba masih aja kyk gitu, tolong dong di perbaiki, kesabaran gw yang setipis tisu, berkelahi dengan bug instagram😔👎",negatif,2024-08-03 19:40:31
Grktng,"Tolong pihak instagram perbaiki juga bagian arsipnya, masa iya dengan alasan teknis tapi tidak bisa diperbaiki dan malah akan dihapus arsip² yang sudah orang simpan, sayang sekali orang sudah menyimpan momennya masing-masing diarsip itu dari setiap tahun.",negatif,2024-08-07 13:56:41
Kirana Aulia Putri,"Baru diupdate malah tambah error aja. Tampilan reels di beranda jadi terpotong, harus di klik dulu biar jadi full. Chattingan dm juga sukanya ngelag, pesan sering hilang padahal nggak dihapus. Mana sekarang reels juga bermasalah lagi. Kirim dm doang juga lama banget padahal nggak ada masalah jaringan, nggak bisa memperbarui beranda. Tolonglah diperbaiki.",negatif,2024-08-13 07:29:37
Prima Kurnia,Tingkat keamanan kurang dan mudah sekali teretas / terkena hack. Tolong perbaiki dan tingkatkan keamanan serta tingkat privasi. Perbaiki juga tampilan dark mode pada pusat akun meta (berlaku juga untuk facebook) karena tampilan terlalu berwarna warni dan terkesan kurang bagus.,negatif,2024-08-13 21:10:16
SAITATI AL ISTIFAIYYAH,"Plis instagram kenapa berubah sih, camera video call udah bagus setengah setengah sama lawan bicara(atas bawah), sekarang malah berubah jadi kaya di whatsapp, layar aku jadi kecil sementara layar camera lawan bicara aku full. Gasuka! Ayolah instagram sesuai sama diri sendiri aja gausah ikut2 whatsapp! Kan kalo atas bawah enak, kelihatan jelas trus bisa sambil share reels(aku jadi gabisa share reels juga) trus bisa main main filter sama lawan bicara, seru. Kok gini sih😞😞",negatif,2024-08-13 23:24:00
Rahadian Ilham,"Hai developer, saya mengalami masalah dalam editing dan upload reels dengan video 1080p/100fps 16:9, ketika melakukan edit reels di Instagram terlalu lama, hasil edit tidak bisa di upload, alhasil harus di save dulu tanpa suara kemudian baru bisa di upload, yang mengakibatkan kualitas video kurang bagus, semoga bisa lekas diperbaiki untuk masalah editing dan upload reelsnya, terimakasih",positif,2024-08-14 01:13:10
Queen Rara,"Sebel banget sekarang instagram jelek banget,bug nya itu lho banyak banget,pas mau ngedit deskripsi gk bisa,pas mau phosting eror,pas mau kolaborasi eror,semua gk bisa,sumpah jelek sekarang terlalu banyak bug,semakin di upgrade semakin banyak bug nya. Mohon segera di benarkan dong.",negatif,2024-08-15 09:30:48
Siti Aisyah,"sebenernya udah bagus kok, cm ada beberapa fitur yg seharusnya gausah di ubah, seperti mengubah lagu di postingan, (sekarang gabisa, tp dulu pas awal"" bisa) Terus, mungkin bisa ditambahkan fitur yg bermanfaat, seperti pas lagi post story pakai lagu ga cuma 15s, fitur supaya kita bisa tahu acount yg kita follow sepihak itu yg mana saja. Itu saja, terimakasih ya",positif,2024-08-16 23:37:37
Ayu Wulandari,"setelah di-update banyak fitur yang ga bisa muncul padahal sudah disetting, contohnya musik yang ada di bawah profil, awalannya bisa tapi lama lama ilang sendiri harus setting terus, giliran disetting ulang ga muncul itu musiknya",netral,2024-08-20 22:45:33
lissa Melissa Zauhari,Kalau sudah di update ..kenapa banyak yg hilang .icon efek tampilan baru font di story pun malah hilang ..malah jadi tampilan yg lama ..trus kemana fitur efek di pengeditan gambar di bagian story malah pada dihilangkan..,negatif,2024-08-22 21:05:30
Indah Astuti,"Font yg di instagram story sempat keupdate, tp sekarang balik ke semula. Font deco, poster, bubble, dan yang lain hilang. Sekarang hanya ada font default. Tampilannya juga gak keupdate, padahal versi aplikasi udah update",netral,2024-08-22 22:50:33
stepanus simamora,"Sistem bug terparah, masa password yang benar2 setiap hari saya log in ig tiba2 salah. Dan gilanya lagi tidak dapat memulihkan password dikarnakan kendala2 aneh seperti kode tidak masuk atau setelah memasukkan kode tidak ada kelanjutan dari aplikasinya (stuck). Setelah dicoba bantuan dari konfirmasi wajah malah loading berjamjam. Ketika minta bantuan pemulihan dari teman tiba2 check confirmationnya tidak bisa di click. Aneh Instagram, makin update makin rusak.",negatif,2024-08-30 22:21:34
Ilham ardiansyah,"Tolong pihat ig di perhatikan lagi, masa pilihan musik di profil tiba tiba hilang, sementara di akun lain masih ada musik di profil nya, mau ngapus musik di profil jadi gk bisa karena pilihan musik nya gk ada ni, sementara musik nya masik ada kalo di lihat dari akun orang....🙏",negatif,2024-09-01 18:53:14
Lorensa Dewi,"Setiap mau post video untuk story selalu ga bisa. Di keterangannya ""menunggu koneksi"" padahal wifi nya lancar. Terus coba pakai data seluler masih sama gitu padahal kuota juga ada. Tolong diperbaiki instagram",positif,2024-09-06 07:16:15
Fakhrur Rozi,"Hanya tambahan buat instagram dari saya, adakan sistem create/fill icon agar penggunanya leluasa untuk meletakkan icon-icon seperti, daftar reels atau postingan yang tersimpan,pengaturan, DM, atau apapun itu agar bisa di letakkan di beranda awal sesuai penggunaan dan kebutuhan.Jika fitur itu ada, akan sangat memudahkan pengguna instagram untuk memilih icon-icon yang sering atau di butuhkan penggunaan nya...sekian terimakasih, untuk semua overall good😁😁😁",positif,2024-09-06 21:41:28
Andi Dewansyah,Tingkatkan fitur & efisiensi. Fitur repost reels ke instastory dengan background foto dengan cuma isi konten atau video pun tidak muncul padahal sudah di simpan pada layar atas sendiri,positif,2024-09-08 20:23:01
OLLIVANDER S,"Kalau upload foto atau vidio di ig story kualitasnya diturunin banget ya... apalagi kalau misal foto/vidionya ditaruh di highlight. Sebulan atau setahun kemudian kalau dibuka lagi udh pecah semua gambar nya. Selain itu juga instagram sering menghapus banyak foto maupun vidio yang saya simpan di highlight, ntah alasan nya apa.. gada perbaikan bahkan makin parah dari tahun ke tahun",negatif,2024-09-09 08:46:53
Mintt?,"postingan ku beberapa saat lalu ada lagunya, trs selang brp hari gitu lagunya hilang dari postingan. Saat ku edit postingannya ada opsi ganti lagi, yaudah kepencet deh, setelah dpt lagi yg bagus eh sesudah di save kembali lagunya ga muncul. TOLONG!!!??!!!?",negatif,2024-09-09 13:06:47
Afina,"IG BUTUTTTT, KALAU BISA NGASIH BINTANG 0 LU GUA KASIH BINTANG -100 ANJINGGG. Sebelumnya baik baik aja, tapi makin kesini MAKIN SERING ngebug seolah gaada sinyal, up story gabisa padahal wifi kenceng, arsip story juga pada ilang padahal mau di add ke highlights. Tolong di benerin.",negatif,2024-09-10 08:56:49
Kitsuoka Reishi,"Untuk develpoer instagram,tolong fitur untuk menambahkan lagu di story pakai lagu yang telah disimpan jangan dihapus karena fitur nya sangat memudahkan pengguna,kemarin sempat muncul fitur itu sekarang dah dihilangkan lagi.developer tolong diberi fitur ini lagi",netral,2024-09-12 17:31:20
Muhammad Naufal,"Fiturnya bikin emosi, lagi enak² nonton reels malah ke refresh dan reelsnya hilang.... minimal kasihlah fitur histori reels kayak tiktok biar video yg udah ditonton bisa diakses kembali gak nyusahin cari² dulu dah nyarinya susah malah dipersulit lagi....",negatif,2024-09-13 13:21:27
Sinta Amelia,"tolong di perbaiki lagii.saat saya membuka kamera dan ingin mencoba efek,layar menjadi kedip kedip padahal jika saya membuka kamera biasa tanpa efek itu aman aman saja tapi jika ingin menggunakan efek layar menjadi kedip kedip",netral,2024-09-19 08:40:20
Ever Victorius,"tolong, saya mohon tetapkan kualitas foto atau video yang kita post, kalau post foto pasti selalu dikompres, usahakan tetap kualitas nya agar HD, dan jika sudah masuk highlight kenapa kualitasnya sangat menurun drastis? itu bahkan tidak terlihat ""jelas"" lagi. so far problem-nya cuma itu, sekali lagi untuk kualitas foto ataupun video jangan dikompres saat kita post! tidak peduli berapapun lama uploadnya tapi setidaknya itu HD tidak burik, aplikasi seterkenal ini mengatasi masalah kecil aja gabisa",negatif,2024-09-19 19:38:38
Evanur Nurlaila,"fitur musik di profil ilang, padahal kalo di akun lain masi ada, fitur teks font nya gaada yang berubah, pokoknya banyak banget minesnya, padahal selalu upgrade tapi fiturnya ga pernah baru selalu itu' aja kalo pun ada yang baru tapi nanti selang beberapa hari/minggu pasti ilang anehh!! di upgrade bukannya makin bagus aan meningkatkan malah makin menurun!!",negatif,2024-09-20 15:51:58
Aifa Ghinaya,"Sering sekali eror menguploud story, sudah berkali kali di uploud tetap saja eror. Tampilan baru Instagram sangat tidak bagus, merusak gambar yang sudah di posting, kelihatannya tidak menarik dan jelek. Saya harap tampilan Instagram seperti dulu lagi, semua menyukai tampilan Instagram sebelumnya. Saran saya tambahkan fitur timer pada Instagram story, ini sangatlah bagus jika ada fitur tersebut.",negatif,2024-09-21 00:40:50
Yusra (Cepotzz),"Saya kesal dengan hilangnya fitur/tampilan musik di profil, setelah saya cek dengan akun saya yang kedua, musik diprofil diakun utama ada, tetapi waktu login ke akun utama tidak ada fitur/tampilan musik diprofil, Entah ini Bug atau akun saya yang bermasalah. Tolong untuk Pihak Instagram Segera Secepatnya Perbaiki Bug ini, saya ingin mengganti musik Note : Tiap cek playstore Update/Apdate tapi tidak ada Fitur/Tampilan yang baru, buang-buang Kouta aja!!👊",negatif,2024-09-21 21:24:56
Suneo Kexcrot,"setiap saya memposting sebuah foto hasilnya selalu buram,pecah pecah,dan lain nya begitu juga ketika membagikan foto ke sebuah cerita hasilnya selalu tidak sesuai dengan yang di harapkan padahal,saya sudah mengatur untuk tidak menghemat data,dan upload foto dengan kualitas tinggi",negatif,2024-09-23 10:01:49
Aulia Nur retno rahmadani,"setiap masuk apk ini selalu keluar sendiri padahal sudah muat ulang, sudah unnistal dan di istal kembali tapi tidak bisa, sudah berkali kali di buka tapi tidak bisa, ga mungkin pada hp nya apk lain aja bisa ,ini kok gak bisa sama sekali, kenapa tolong cepet diperbaiki!!!",negatif,2024-09-23 16:18:08
Nur Zahra Lutfia,"Instagram tolong jangan hapus archive story. Tolong berhenti membuat fitur baru yang tidak berguna dan tetap pertahankan fitur yabg ada sekarang. Padahal archive story adalah fitur keunggulan Instagram, sebagai pengguna Instagram saya akan merasa sangat kecewa jika itu dihilangkan.",negatif,2024-09-23 17:43:34
Rina Asih,App-nya bagus cuma pas mau nyimpen foto itu lama banget padahal dulu ga sampai selama itu terus pas keluar lalu masuk lagi kirain dah masuk galeri ternyata ga ada tolong di perbaiki lagi plisss mau masuk akun gak bisa peringatannya itu seberapa sering anda di Instagram padahal kalo masuk gak pernah gitu mau ganti atau pindah aku juga gak bisa di perbaiki pilsss udah sering di update tapi tetep eror jangan sampe mau update lagi harus berbayar ya yang unduh rugi gak bisa masuk,netral,2024-09-23 20:37:39
